Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-10-11,58898.3984375,59692.980541209945,58600.430148608764,58699.75291157251,29623969
2024-10-14,58898.3984375,60785.530933811126,58997.72120046374,59097.04396342749,20886249
2024-10-15,60586.8828125,60984.17384733606,59692.97798411885,60686.205571209015,22715239
2024-10-16,59097.04296875,59593.65677521008,58799.07468487395,58997.72020745798,23303268
2024-10-17,59295.6875,59692.97853852596,58699.75094221105,58997.71922110553,23372873
2024-10-18,58799.07421875,59692.97906329181,58699.75145824535,59494.33354228252,14420260
2024-10-21,58600.4296875,59196.366260593226,58103.81587658899,58600.4296875,18514905
2024-10-22,57309.234375,58501.107533578856,57309.234375,58401.78477036395,27582527
2024-10-23,58699.75,59593.654822335026,56713.2948392555,57110.5858714044,27300780
2024-10-24,56216.68359375,58103.81608187941,56216.68359375,57805.84779428003,31499922
2024-10-25,55521.421875,56514.649457737025,55422.0991167263,55620.7446332737,25829315
2024-10-28,57706.5234375,58103.814476656626,55322.77720256024,55322.77720256024,27775009
2024-10-29,59196.36328125,59196.36328125,56911.93986603397,57607.199166317114,28369314
2024-10-30,58699.75,59395.009306260574,58203.13620981388,58699.75,19838511
2024-10-31,58799.07421875,60785.52942884291,57905.16937420819,58103.81489521748,35809196
2024-11-01,57905.16796875,59196.36382397084,57706.522452562174,58600.427275407375,19083180
2024-11-04,58302.4609375,58997.720267248726,58004.49265332198,58203.13817610733,15586947
2024-11-05,57209.91015625,57706.52395968967,56812.619113498266,57408.55567762587,17484474
2024-11-06,56911.94140625,57607.20072534904,55918.71380753708,57209.90968586387,22092218
2024-11-07,56911.94140625,57706.52348522033,56415.32760689354,56514.65036676483,17043102
2024-11-08,56613.97265625,57905.16852384868,56613.97265625,57607.20024671053,13877396
2024-11-11,54627.51953125,56415.32926136364,54627.51953125,56316.00649857955,29811326
2024-11-12,52641.0625,54230.2266509434,52641.0625,54230.2266509434,37962881
2024-11-13,50257.31640625,52641.06263895751,50157.993646553856,51647.83504199605,52527995
2024-11-14,49562.05859375,51449.19108529559,49562.05859375,49860.02688188878,48510715
2024-11-15,53137.67578125,53832.93509053739,49959.34751022197,49959.34751022197,46774485
2024-11-18,56316.00390625,57110.58597194665,55521.421840553354,56613.972180886245,48095234
2024-11-19,55918.71484375,57110.58798429174,55521.42379690275,56117.36036717363,31539632
2024-11-20,54925.48828125,56117.36144467676,54428.87446315552,55720.070390201174,20864667
2024-11-21,56018.03515625,56514.64894309619,54329.548280972966,54528.193795711435,19096850
2024-11-22,55620.74609375,56316.00541992187,55521.423332868304,55620.74609375,15281543
2024-11-25,57507.87890625,57507.87890625,56316.00576829663,57011.26509876943,36237325
2024-11-26,57905.16796875,58501.10451731346,57110.58590399871,57507.876936374356,23209405
2024-11-27,55918.71484375,57408.55626942718,55620.74655861456,57309.23350771536,21808387
2024-11-28,55124.1328125,56018.03766891892,54826.164527027024,55620.74662162162,20001134
2024-11-29,53832.9375,54925.48789206642,53435.64644833948,54726.84236623616,24513531
2024-12-02,53237.0,54031.58208955224,52740.38619402985,53932.25932835821,22044867
2024-12-03,53237.0,54031.58208955224,52740.38619402985,52740.38619402985,23374603
2024-12-04,52740.38671875,53038.35500529661,51647.83633474576,51647.83633474576,29004766
2024-12-05,53336.3203125,54031.57960893855,52839.70652932961,52839.70652932961,23588277
2024-12-06,53733.61328125,54031.581561922365,52343.09463811229,53534.96776080176,22861874
2024-12-09,53038.35546875,54230.22862535113,52839.70994264981,53137.67823180009,26227680
2024-12-10,53634.2890625,54130.902850115745,53336.320789930556,54130.902850115745,20783970
2024-12-11,53634.2890625,53832.9345775463,53038.35251736111,53236.99803240741,14565947
2024-12-12,55521.421875,56117.35842464222,53534.966709525936,53634.28946779964,33476698
2024-12-13,55720.0703125,55918.71583946079,55124.13373161765,55422.102022058825,15908823
2024-12-16,55223.453125,56216.68069919065,54826.162095323736,55918.71242693345,15277277
2024-12-17,53832.9375,54826.16512915129,53634.29197416974,54329.55131457564,20215230
2024-12-18,54528.1953125,55024.80911316029,53634.29047131148,53733.61323144353,13698937
2024-12-19,52740.38671875,53435.64605402543,52740.38671875,53137.67776747882,22481925
2024-12-20,52641.0625,52740.38525943396,51548.512146226414,52343.09422169811,24674774
2024-12-23,53137.67578125,53634.28957359813,52939.03026431075,53038.35302278038,13672650
2024-12-24,54031.58203125,54130.904792336856,53236.99994255514,53336.322703642,11634677
